phenotype	description	variable_type	source	n_non_missing	n_missing	n_controls	n_cases	PHESANT_transformation	notes
20003_2038459704	Treatment/medication code: carbamazepine	binary	phesant	361141	53	360590	551	20003_0 || CAT-MUL-BINARY-VAR 2038459704 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 2038459704 but with missing value (<0) || sample 360590/551(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140867878	Treatment/medication code: sertraline	binary	phesant	361141	53	359610	1531	20003_0 || CAT-MUL-BINARY-VAR 1140867878 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140867878 but with missing value (<0) || sample 359610/1531(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140917428	Treatment/medication code: angitil sr 90 m/r capsule	binary	phesant	361141	53	361016	125	20003_0 || CAT-MUL-BINARY-VAR 1140917428 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140917428 but with missing value (<0) || sample 361016/125(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140881702	Treatment/medication code: adalate 10mg capsule	binary	phesant	361141	53	360867	274	20003_0 || CAT-MUL-BINARY-VAR 1140881702 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140881702 but with missing value (<0) || sample 360867/274(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140882694	Treatment/medication code: betnovate cream	binary	phesant	361141	53	359875	1266	20003_0 || CAT-MUL-BINARY-VAR 1140882694 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140882694 but with missing value (<0) || sample 359875/1266(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1141188442	Treatment/medication code: glucosamine product	binary	phesant	361141	53	336928	24213	20003_0 || CAT-MUL-BINARY-VAR 1141188442 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1141188442 but with missing value (<0) || sample 336928/24213(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1141191044	Treatment/medication code: levothyroxine sodium	binary	phesant	361141	53	346452	14689	20003_0 || CAT-MUL-BINARY-VAR 1141191044 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1141191044 but with missing value (<0) || sample 346452/14689(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140864752	Treatment/medication code: lansoprazole	binary	phesant	361141	53	348309	12832	20003_0 || CAT-MUL-BINARY-VAR 1140864752 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140864752 but with missing value (<0) || sample 348309/12832(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140860696	Treatment/medication code: lisinopril	binary	phesant	361141	53	351170	9971	20003_0 || CAT-MUL-BINARY-VAR 1140860696 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140860696 but with missing value (<0) || sample 351170/9971(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140923350	Treatment/medication code: co-dydramol	binary	phesant	361141	53	358881	2260	20003_0 || CAT-MUL-BINARY-VAR 1140923350 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140923350 but with missing value (<0) || sample 358881/2260(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140865580	Treatment/medication code: asacol 400mg e/c tablet	binary	phesant	361141	53	360655	486	20003_0 || CAT-MUL-BINARY-VAR 1140865580 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140865580 but with missing value (<0) || sample 360655/486(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1141172918	Treatment/medication code: celluvisc 1% single-use eye drops	binary	phesant	361141	53	360868	273	20003_0 || CAT-MUL-BINARY-VAR 1141172918 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1141172918 but with missing value (<0) || sample 360868/273(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140879616	Treatment/medication code: amitriptyline	binary	phesant	361141	53	354317	6824	20003_0 || CAT-MUL-BINARY-VAR 1140879616 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140879616 but with missing value (<0) || sample 354317/6824(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140863152	Treatment/medication code: diazepam	binary	phesant	361141	53	360154	987	20003_0 || CAT-MUL-BINARY-VAR 1140863152 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140863152 but with missing value (<0) || sample 360154/987(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140872198	Treatment/medication code: sodium valproate	binary	phesant	361141	53	360791	350	20003_0 || CAT-MUL-BINARY-VAR 1140872198 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140872198 but with missing value (<0) || sample 360791/350(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1141167594	Treatment/medication code: qvar 50 inhaler	binary	phesant	361141	53	359779	1362	20003_0 || CAT-MUL-BINARY-VAR 1141167594 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1141167594 but with missing value (<0) || sample 359779/1362(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1141146428	Treatment/medication code: fexofenadine	binary	phesant	361141	53	359996	1145	20003_0 || CAT-MUL-BINARY-VAR 1141146428 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1141146428 but with missing value (<0) || sample 359996/1145(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1141156836	Treatment/medication code: candesartan cilexetil	binary	phesant	361141	53	357266	3875	20003_0 || CAT-MUL-BINARY-VAR 1141156836 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1141156836 but with missing value (<0) || sample 357266/3875(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1141180036	Treatment/medication code: fybogel orange s/f granules	binary	phesant	361141	53	360406	735	20003_0 || CAT-MUL-BINARY-VAR 1141180036 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1141180036 but with missing value (<0) || sample 360406/735(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140888386	Treatment/medication code: iron product	binary	phesant	361141	53	360132	1009	20003_0 || CAT-MUL-BINARY-VAR 1140888386 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140888386 but with missing value (<0) || sample 360132/1009(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140862382	Treatment/medication code: becotide 50 inhaler	binary	phesant	361141	53	358935	2206	20003_0 || CAT-MUL-BINARY-VAR 1140862382 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140862382 but with missing value (<0) || sample 358935/2206(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1141151288	Treatment/medication code: naramig 2.5mg tablet	binary	phesant	361141	53	360878	263	20003_0 || CAT-MUL-BINARY-VAR 1141151288 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1141151288 but with missing value (<0) || sample 360878/263(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140884654	Treatment/medication code: beclomethasone	binary	phesant	361141	53	359701	1440	20003_0 || CAT-MUL-BINARY-VAR 1140884654 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140884654 but with missing value (<0) || sample 359701/1440(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1141167334	Treatment/medication code: colofac-100 tablet	binary	phesant	361141	53	360679	462	20003_0 || CAT-MUL-BINARY-VAR 1141167334 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1141167334 but with missing value (<0) || sample 360679/462(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140861806	Treatment/medication code: aspirin 75mg tablet	binary	phesant	361141	53	358968	2173	20003_0 || CAT-MUL-BINARY-VAR 1140861806 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140861806 but with missing value (<0) || sample 358968/2173(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140916682	Treatment/medication code: evening primrose oil	binary	phesant	361141	53	355411	5730	20003_0 || CAT-MUL-BINARY-VAR 1140916682 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140916682 but with missing value (<0) || sample 355411/5730(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140876592	Treatment/medication code: multivitamin+mineral preparations	binary	phesant	361141	53	356144	4997	20003_0 || CAT-MUL-BINARY-VAR 1140876592 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140876592 but with missing value (<0) || sample 356144/4997(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140874790	Treatment/medication code: betamethasone	binary	phesant	361141	53	360578	563	20003_0 || CAT-MUL-BINARY-VAR 1140874790 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140874790 but with missing value (<0) || sample 360578/563(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140884516	Treatment/medication code: thyroxine product	binary	phesant	361141	53	356895	4246	20003_0 || CAT-MUL-BINARY-VAR 1140884516 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140884516 but with missing value (<0) || sample 356895/4246(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1141162824	Treatment/medication code: detrusitol 1mg tablet	binary	phesant	361141	53	360590	551	20003_0 || CAT-MUL-BINARY-VAR 1141162824 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1141162824 but with missing value (<0) || sample 360590/551(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140879540	Treatment/medication code: fluoxetine	binary	phesant	361141	53	357001	4140	20003_0 || CAT-MUL-BINARY-VAR 1140879540 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140879540 but with missing value (<0) || sample 357001/4140(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140869930	Treatment/medication code: azathioprine	binary	phesant	361141	53	360369	772	20003_0 || CAT-MUL-BINARY-VAR 1140869930 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140869930 but with missing value (<0) || sample 360369/772(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140909726	Treatment/medication code: vitamin c product	binary	phesant	361141	53	356594	4547	20003_0 || CAT-MUL-BINARY-VAR 1140909726 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140909726 but with missing value (<0) || sample 356594/4547(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140870390	Treatment/medication code: ferrous sulphate	binary	phesant	361141	53	359381	1760	20003_0 || CAT-MUL-BINARY-VAR 1140870390 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140870390 but with missing value (<0) || sample 359381/1760(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140879778	Treatment/medication code: doxazosin	binary	phesant	361141	53	357098	4043	20003_0 || CAT-MUL-BINARY-VAR 1140879778 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140879778 but with missing value (<0) || sample 357098/4043(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140878226	Treatment/medication code: diprobase cream	binary	phesant	361141	53	360555	586	20003_0 || CAT-MUL-BINARY-VAR 1140878226 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140878226 but with missing value (<0) || sample 360555/586(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140879424	Treatment/medication code: alverine	binary	phesant	361141	53	360918	223	20003_0 || CAT-MUL-BINARY-VAR 1140879424 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140879424 but with missing value (<0) || sample 360918/223(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140910494	Treatment/medication code: b12 - hydroxocobalamin prep	binary	phesant	361141	53	360850	291	20003_0 || CAT-MUL-BINARY-VAR 1140910494 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140910494 but with missing value (<0) || sample 360850/291(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140872150	Treatment/medication code: clonazepam	binary	phesant	361141	53	360882	259	20003_0 || CAT-MUL-BINARY-VAR 1140872150 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140872150 but with missing value (<0) || sample 360882/259(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140861924	Treatment/medication code: bezafibrate	binary	phesant	361141	53	360803	338	20003_0 || CAT-MUL-BINARY-VAR 1140861924 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140861924 but with missing value (<0) || sample 360803/338(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140862168	Treatment/medication code: bricanyl 250mcg inhaler	binary	phesant	361141	53	360319	822	20003_0 || CAT-MUL-BINARY-VAR 1140862168 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140862168 but with missing value (<0) || sample 360319/822(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140860806	Treatment/medication code: ramipril	binary	phesant	361141	53	344272	16869	20003_0 || CAT-MUL-BINARY-VAR 1140860806 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140860806 but with missing value (<0) || sample 344272/16869(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1141176832	Treatment/medication code: seretide 50 evohaler	binary	phesant	361141	53	356872	4269	20003_0 || CAT-MUL-BINARY-VAR 1141176832 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1141176832 but with missing value (<0) || sample 356872/4269(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1203	Treatment/medication code: aloe vera product	binary	phesant	361141	53	360779	362	20003_0 || CAT-MUL-BINARY-VAR 1203 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1203 but with missing value (<0) || sample 360779/362(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140867726	Treatment/medication code: lofepramine	binary	phesant	361141	53	360859	282	20003_0 || CAT-MUL-BINARY-VAR 1140867726 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140867726 but with missing value (<0) || sample 360859/282(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140865634	Treatment/medication code: omeprazole	binary	phesant	361141	53	340022	21119	20003_0 || CAT-MUL-BINARY-VAR 1140865634 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140865634 but with missing value (<0) || sample 340022/21119(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140888646	Treatment/medication code: felodipine	binary	phesant	361141	53	358051	3090	20003_0 || CAT-MUL-BINARY-VAR 1140888646 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140888646 but with missing value (<0) || sample 358051/3090(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140879406	Treatment/medication code: ranitidine	binary	phesant	361141	53	355206	5935	20003_0 || CAT-MUL-BINARY-VAR 1140879406 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140879406 but with missing value (<0) || sample 355206/5935(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1189	Treatment/medication code: co-enzyme q10/ubiquinone/bio-quinone/coenzyme q10	binary	phesant	361141	53	359915	1226	20003_0 || CAT-MUL-BINARY-VAR 1189 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1189 but with missing value (<0) || sample 359915/1226(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140910640	Treatment/medication code: luteine	binary	phesant	361141	53	360863	278	20003_0 || CAT-MUL-BINARY-VAR 1140910640 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140910640 but with missing value (<0) || sample 360863/278(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1141153026	Treatment/medication code: lercanidipine	binary	phesant	361141	53	360268	873	20003_0 || CAT-MUL-BINARY-VAR 1141153026 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1141153026 but with missing value (<0) || sample 360268/873(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140888688	Treatment/medication code: betahistine	binary	phesant	361141	53	360074	1067	20003_0 || CAT-MUL-BINARY-VAR 1140888688 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140888688 but with missing value (<0) || sample 360074/1067(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140862236	Treatment/medication code: atrovent 20micrograms inhaler	binary	phesant	361141	53	360779	362	20003_0 || CAT-MUL-BINARY-VAR 1140862236 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140862236 but with missing value (<0) || sample 360779/362(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140861998	Treatment/medication code: ventolin 100micrograms inhaler	binary	phesant	361141	53	350761	10380	20003_0 || CAT-MUL-BINARY-VAR 1140861998 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140861998 but with missing value (<0) || sample 350761/10380(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140862574	Treatment/medication code: pulmicort ls 50micrograms inhaler	binary	phesant	361141	53	360590	551	20003_0 || CAT-MUL-BINARY-VAR 1140862574 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140862574 but with missing value (<0) || sample 360590/551(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140864286	Treatment/medication code: flixotide 25micrograms inhaler	binary	phesant	361141	53	360534	607	20003_0 || CAT-MUL-BINARY-VAR 1140864286 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140864286 but with missing value (<0) || sample 360534/607(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140876076	Treatment/medication code: flixonase 50micrograms aqueous nasal spray	binary	phesant	361141	53	359717	1424	20003_0 || CAT-MUL-BINARY-VAR 1140876076 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140876076 but with missing value (<0) || sample 359717/1424(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140911732	Treatment/medication code: garlic product	binary	phesant	361141	53	356272	4869	20003_0 || CAT-MUL-BINARY-VAR 1140911732 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140911732 but with missing value (<0) || sample 356272/4869(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140865654	Treatment/medication code: codeine phosphate+kaolin 10mg/3g/10ml mixture	binary	phesant	361141	53	361011	130	20003_0 || CAT-MUL-BINARY-VAR 1140865654 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140865654 but with missing value (<0) || sample 361011/130(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140872200	Treatment/medication code: epilim 100mg crushable tablet	binary	phesant	361141	53	360529	612	20003_0 || CAT-MUL-BINARY-VAR 1140872200 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140872200 but with missing value (<0) || sample 360529/612(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140881856	Treatment/medication code: salbutamol	binary	phesant	361141	53	356836	4305	20003_0 || CAT-MUL-BINARY-VAR 1140881856 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140881856 but with missing value (<0) || sample 356836/4305(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1141190158	Treatment/medication code: cipralex 5mg tablet	binary	phesant	361141	53	360819	322	20003_0 || CAT-MUL-BINARY-VAR 1141190158 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1141190158 but with missing value (<0) || sample 360819/322(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_2038460076	Treatment/medication code: phenytoin	binary	phesant	361141	53	360797	344	20003_0 || CAT-MUL-BINARY-VAR 2038460076 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 2038460076 but with missing value (<0) || sample 360797/344(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140876136	Treatment/medication code: beconase 50micrograms nasal spray	binary	phesant	361141	53	358726	2415	20003_0 || CAT-MUL-BINARY-VAR 1140876136 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140876136 but with missing value (<0) || sample 358726/2415(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140876404	Treatment/medication code: aqueous cream bp	binary	phesant	361141	53	360835	306	20003_0 || CAT-MUL-BINARY-VAR 1140876404 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140876404 but with missing value (<0) || sample 360835/306(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1141176570	Treatment/medication code: fosamax 5mg tablet	binary	phesant	361141	53	360701	440	20003_0 || CAT-MUL-BINARY-VAR 1141176570 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1141176570 but with missing value (<0) || sample 360701/440(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140871266	Treatment/medication code: arthrotec tablet	binary	phesant	361141	53	360623	518	20003_0 || CAT-MUL-BINARY-VAR 1140871266 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140871266 but with missing value (<0) || sample 360623/518(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140862476	Treatment/medication code: beclazone 50 inhaler	binary	phesant	361141	53	360098	1043	20003_0 || CAT-MUL-BINARY-VAR 1140862476 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140862476 but with missing value (<0) || sample 360098/1043(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1141168318	Treatment/medication code: clopidogrel	binary	phesant	361141	53	358851	2290	20003_0 || CAT-MUL-BINARY-VAR 1141168318 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1141168318 but with missing value (<0) || sample 358851/2290(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140911754	Treatment/medication code: anadin tablet	binary	phesant	361141	53	360873	268	20003_0 || CAT-MUL-BINARY-VAR 1140911754 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140911754 but with missing value (<0) || sample 360873/268(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140865354	Treatment/medication code: gaviscon liquid	binary	phesant	361141	53	359255	1886	20003_0 || CAT-MUL-BINARY-VAR 1140865354 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140865354 but with missing value (<0) || sample 359255/1886(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1141192740	Treatment/medication code: ezetrol 10mg tablet	binary	phesant	361141	53	360476	665	20003_0 || CAT-MUL-BINARY-VAR 1141192740 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1141192740 but with missing value (<0) || sample 360476/665(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140872228	Treatment/medication code: gabapentin	binary	phesant	361141	53	359467	1674	20003_0 || CAT-MUL-BINARY-VAR 1140872228 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140872228 but with missing value (<0) || sample 359467/1674(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1141156846	Treatment/medication code: amias 2mg tablet	binary	phesant	361141	53	360753	388	20003_0 || CAT-MUL-BINARY-VAR 1141156846 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1141156846 but with missing value (<0) || sample 360753/388(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140852976	Treatment/medication code: multivitamins	binary	phesant	361141	53	349993	11148	20003_0 || CAT-MUL-BINARY-VAR 1140852976 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140852976 but with missing value (<0) || sample 349993/11148(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140883504	Treatment/medication code: cetirizine	binary	phesant	361141	53	357071	4070	20003_0 || CAT-MUL-BINARY-VAR 1140883504 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140883504 but with missing value (<0) || sample 357071/4070(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140882910	Treatment/medication code: daktacort cream	binary	phesant	361141	53	360895	246	20003_0 || CAT-MUL-BINARY-VAR 1140882910 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140882910 but with missing value (<0) || sample 360895/246(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1140862776	Treatment/medication code: clarityn 10mg tablet	binary	phesant	361141	53	360813	328	20003_0 || CAT-MUL-BINARY-VAR 1140862776 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1140862776 but with missing value (<0) || sample 360813/328(361141) ||	Code for treatment Negative codes indicate free-text entry.
20003_1141192736	Treatment/medication code: ezetimibe	binary	phesant	361141	53	359009	2132	20003_0 || CAT-MUL-BINARY-VAR 1141192736 || Indicator name x137_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1141192736 but with missing value (<0) || sample 359009/2132(361141) ||	Code for treatment Negative codes indicate free-text entry.
